coin,close_price,date,eth_close
BTCUSD,13845.05,9/13/2020,13845.05
BTCUSD,13839.9,9/14/2020,13839.9
BTCUSD,13774.91,9/15/2020,13774.91
BTCUSD,13693.19,9/16/2020,13693.19
BTCUSD,13721.91,9/17/2020,13721.91
BTCUSD,13743.48,9/18/2020,13743.48
BTCUSD,13723.61,9/19/2020,13723.61
BTCUSD,13725.95,9/20/2020,13725.95
BTCUSD,13729.09,9/21/2020,13729.09
BTCUSD,13755.18,9/22/2020,13755.18
BTCUSD,13754.95,9/23/2020,13754.95
BTCUSD,13763.48,9/24/2020,13763.48
BTCUSD,13759.68,9/25/2020,13759.68
BTCUSD,13731.39,9/26/2020,13731.39
BTCUSD,13740,9/27/2020,13740
BTCUSD,13726.8,9/28/2020,13726.8
BTCUSD,13737.46,9/29/2020,13737.46
BTCUSD,13767.99,9/30/2020,13767.99
BTCUSD,13759.32,10/1/2020,13759.32
BTCUSD,13759.9,10/2/2020,13759.9
BTCUSD,13761.28,10/3/2020,13761.28
BTCUSD,13772.46,10/4/2020,13772.46
BTCUSD,13756.41,10/5/2020,13756.41
BTCUSD,13760.98,10/6/2020,13760.98
BTCUSD,13756.23,10/7/2020,13756.23
BTCUSD,13766.92,10/8/2020,13766.92
BTCUSD,13766.33,10/9/2020,13766.33
BTCUSD,13737.43,10/10/2020,13737.43
BTCUSD,13733.6,10/11/2020,13733.6
BTCUSD,13714.86,10/12/2020,13714.86
BTCUSD,13706.34,10/13/2020,13706.34
BTCUSD,13715.88,10/14/2020,13715.88
BTCUSD,13729.9,10/15/2020,13729.9
BTCUSD,13709.31,10/16/2020,13709.31
BTCUSD,13698.11,10/17/2020,13698.11
BTCUSD,13700.35,10/18/2020,13700.35
BTCUSD,13683.39,10/19/2020,13683.39
BTCUSD,13671.53,10/20/2020,13671.53
BTCUSD,13689.46,10/21/2020,13689.46
BTCUSD,13702.21,10/22/2020,13702.21
BTCUSD,13676.31,10/23/2020,13676.31
BTCUSD,13667.05,10/24/2020,13667.05
BTCUSD,13691.63,10/25/2020,13691.63
BTCUSD,13690.01,10/26/2020,13690.01
BTCUSD,13690.4,10/27/2020,13690.4
BTCUSD,13650.56,10/28/2020,13650.56
BTCUSD,13652.55,10/29/2020,13652.55
BTCUSD,13629.72,10/30/2020,13629.72
BTCUSD,13651.59,10/31/2020,13651.59
BTCUSD,13651.26,11/1/2020,13651.26
BTCUSD,13663.83,11/2/2020,13663.83
BTCUSD,13664.05,11/3/2020,13664.05
BTCUSD,13664.46,11/4/2020,13664.46
BTCUSD,13683,11/5/2020,13683
BTCUSD,13671.73,11/6/2020,13671.73
BTCUSD,13677.25,11/7/2020,13677.25
BTCUSD,13660.38,11/8/2020,13660.38
BTCUSD,13704.7,11/9/2020,13704.7
BTCUSD,13717.4,11/10/2020,13717.4
BTCUSD,13718,11/11/2020,13718
BTCUSD,13710.79,11/12/2020,13710.79
BTCUSD,13743.71,11/13/2020,13743.71
BTCUSD,13725.45,11/14/2020,13725.45
BTCUSD,13725.35,11/15/2020,13725.35
BTCUSD,13727.99,11/16/2020,13727.99
BTCUSD,13711.01,11/17/2020,13711.01
BTCUSD,13708.55,11/18/2020,13708.55
BTCUSD,13698.23,11/19/2020,13698.23
BTCUSD,13706.65,11/20/2020,13706.65
BTCUSD,13697.41,11/21/2020,13697.41
BTCUSD,13699.39,11/22/2020,13699.39
BTCUSD,13686.19,11/23/2020,13686.19
BTCUSD,13696.36,11/24/2020,13696.36
BTCUSD,13713.49,11/25/2020,13713.49
BTCUSD,13706.46,11/26/2020,13706.46
BTCUSD,13734.5,11/27/2020,13734.5
BTCUSD,13729.02,11/28/2020,13729.02
BTCUSD,13736.74,11/29/2020,13736.74
BTCUSD,13737.2,11/30/2020,13737.2
BTCUSD,13714.56,12/1/2020,13714.56
BTCUSD,13740,12/2/2020,13740
BTCUSD,13748.44,12/3/2020,13748.44
BTCUSD,13738.52,12/4/2020,13738.52
BTCUSD,13747.29,12/5/2020,13747.29
BTCUSD,13744.32,12/6/2020,13744.32
BTCUSD,13734.56,12/7/2020,13734.56
BTCUSD,13721.71,12/8/2020,13721.71
BTCUSD,13726.77,12/9/2020,13726.77
BTCUSD,13733.2,12/10/2020,13733.2
BTCUSD,13780.3,12/11/2020,13780.3
BTCUSD,13796.65,12/12/2020,13796.65
BTCUSD,13792.51,12/13/2020,13792.51
BTCUSD,13785.2,12/14/2020,13785.2
BTCUSD,13781.66,12/15/2020,13781.66
BTCUSD,13778.97,12/16/2020,13778.97
BTCUSD,13767.13,12/17/2020,13767.13
